Country,Year,life_expectancy,gdp_per_capita,health_expenditure,pop_65plus,school_enrollment,pm25_pollution,fertility_rate,Region,IncomeGroup
AD,2002,82.448,26528.1300628236,5.99621153,13.1664812197396,82.2911224365234,15.7322043920316,1.265,Europe & Central Asia,High income
AD,2003,82.718,34063.575598394,5.54293585,12.9782472602198,82.7032623291016,15.3456971177959,1.18,Europe & Central Asia,High income
AD,2004,82.815,39021.1107100919,5.27989149,12.318197107299,79.4815368652344,14.9275487539332,1.229,Europe & Central Asia,High income
AD,2005,83.086,40829.8116399538,5.58296251,11.9160945744344,85.7897186279297,14.5249335007286,1.224,Europe & Central Asia,High income
AD,2006,83.374,43467.1963063068,4.95078182,11.828159652198,85.0033187866211,14.0587152187082,1.234,Europe & Central Asia,High income
AD,2007,83.632,48336.2548304926,4.94078732,11.9165826997649,82.4481887817383,13.4952355101681,1.189,Europe & Central Asia,High income
AD,2008,83.855,49132.4925840057,5.6787138,12.1678673445556,82.1809616088867,12.9498851880477,1.25,Europe & Central Asia,High income
AD,2009,84.1,43975.0000888133,6.09363031,12.5512588212855,82.6435775756836,12.5380550652865,1.208,Europe & Central Asia,High income
AD,2010,84.197,42746.830391567,7.68835258,12.7437860877754,85.1478881835938,12.375135954824,1.275,Europe & Central Asia,High income
AD,2011,84.296,46657.1495384811,7.62052774,12.6910764562951,85.8587875366211,13.4732948489243,1.321,Europe & Central Asia,High income
AD,2012,84.334,41500.5499988288,6.71966314,12.6786318556889,86.870361328125,12.2593146393596,1.26,Europe & Central Asia,High income
AD,2013,84.406,42470.3230369366,6.79758358,12.7504372053435,86.4044036865234,11.2698563251216,1.142,Europe & Central Asia,High income
AD,2014,84.485,44369.6712976777,6.77313089,12.8605720330363,88.978157043457,10.4359992732348,1.168,Europe & Central Asia,High income
AD,2015,84.532,38654.95287916,6.91368532,12.9257968645001,91.2962188720703,11.1088936507291,1.223,Europe & Central Asia,High income
AD,2016,84.489,40129.8385811474,6.94162941,13.0178785422858,94.6524124145508,10.1068248002358,1.184,Europe & Central Asia,High income
AD,2017,84.359,40672.9717424447,7.07158232,13.1984409422132,95.1090393066406,10.0219190390452,1.129,Europe & Central Asia,High income
AD,2018,84.242,42819.7577456133,7.37781096,13.4862031345627,95.9804306030273,9.89580638748632,1.053,Europe & Central Asia,High income
AD,2019,84.098,41257.816459345,7.32238626,13.8257043289506,96.2081298828125,9.01087465277866,1.045,Europe & Central Asia,High income
AD,2020,79.418,37361.1070081615,8.78462029,14.2168518997157,97.1500396728516,9.08028059086901,1.028,Europe & Central Asia,High income
AE,2018,82.449,47135.3591943971,4.09854221,1.50109608885113,102.184448242188,45.9879061419392,1.288,Middle East & North Africa,High income
AE,2019,82.596,45938.6073581994,4.40291262,1.52798923207058,101.747344264722,41.955626323257,1.247,Middle East & North Africa,High income
AE,2020,81.936,37991.7492971665,5.82477045,1.56409085694231,99.1635400791877,36.3055030826594,1.289,Middle East & North Africa,High income
AF,2003,57.171,198.871115728727,8.94125843,2.26675269120301,13.959529876709,64.1762314183241,7.174,Middle East & North Africa,Low income
AF,2004,57.81,221.763653873013,9.80847359,2.2686467503968,19.2143802642822,63.8266086780653,7.018,Middle East & North Africa,Low income
AF,2005,58.247,254.184249149336,9.94828892,2.26974934650551,20.2735099792481,63.3190255280017,6.858,Middle East & North Africa,Low income
AF,2006,58.553,274.218553561575,10.62276554,2.2717800234734,29.523889541626,61.5146494273075,6.686,Middle East & North Africa,Low income
AF,2007,58.956,376.223152003876,9.90467453,2.27621524044213,28.8154907226562,58.0837850174423,6.508,Middle East & North Africa,Low income
AF,2008,59.708,381.73323802844,10.25649548,2.28356920247549,38.930850982666,54.1911438080183,6.392,Middle East & North Africa,Low income
AF,2009,60.248,452.053705477043,9.81848717,2.29354363572652,44.2999496459961,51.0014373086482,6.295,Middle East & North Africa,Low income
AF,2010,60.702,560.621505463146,8.56967163,2.30661490116607,50.4406204223633,49.6793770289443,6.195,Middle East & North Africa,Low income
AF,2011,61.25,606.694676337726,8.56190777,2.32214045471626,52.4474296569824,61.8170559083924,6.094,Middle East & North Africa,Low income
AF,2012,61.735,651.417134470046,7.89716864,2.33791133871121,54.372859954834,70.9223165078033,5.985,Middle East & North Africa,Low income
AF,2013,62.188,637.087099117099,8.80596447,2.34976901406028,54.8833694458008,73.1318159038053,5.879,Middle East & North Africa,Low income
AF,2014,62.26,625.054941813938,9.52887821,2.35653566515757,54.2936515808105,77.1437275538632,5.77,Middle East & North Africa,Low income
AF,2015,62.27,565.569730408751,10.10534763,2.35669506261475,53.1501083374023,73.4908176326415,5.652,Middle East & North Africa,Low income
AF,2016,62.646,522.082215583898,11.81859016,2.35549736125691,53.4350395202637,72.7659101386992,5.542,Middle East & North Africa,Low income
AF,2017,62.406,525.469770891619,12.62081718,2.35973702156897,55.5364303588867,65.8623470043896,5.433,Middle East & North Africa,Low income
AF,2018,62.443,491.337221382603,14.20841885,2.36712047688815,57.3578491210938,67.2271774798558,5.327,Middle East & North Africa,Low income
AG,2000,74.819,12027.4949768222,4.3239274,7.36063648013669,80.2067489624023,18.9169541844098,2.196,Latin America & Caribbean ,High income
AG,2007,75.72,18204.5124043068,3.92354655,7.04065896406541,112.227951049805,17.4721028250109,1.86,Latin America & Caribbean ,High income
AG,2008,76.075,18786.6743142216,3.69396091,7.0387881126978,122.261581420898,17.5582313354589,2.042,Latin America & Caribbean ,High income
AG,2009,76.386,16472.2478528568,3.69979143,7.06461691991494,118.682388305664,17.6168614217745,2.006,Latin America & Caribbean ,High income
AG,2010,76.701,15217.3950790922,4.75770044,7.15361489911569,115.466743469238,17.5974662934196,1.785,Latin America & Caribbean ,High income
AG,2011,77.023,14911.7275084471,4.81000614,7.29740999861002,116.185371398926,17.2285490405827,1.746,Latin America & Caribbean ,High income
AG,2012,77.1,15639.8078114787,4.81754541,7.46504698601879,117.228363037109,17.5622893176979,1.655,Latin America & Caribbean ,High income
AG,2014,76.912,15532.1062063584,5.32218313,7.85106742522391,115.270439147949,18.1521399923532,1.526,Latin America & Caribbean ,High income
AG,2015,76.892,16077.6340769406,4.90963078,8.11104027558747,117.55770111084,19.7963197860936,1.567,Latin America & Caribbean ,High income
AG,2017,77.03,16965.7288273816,4.66318989,8.79869124994473,117.209930419922,19.0159494088973,1.485,Latin America & Caribbean ,High income
AG,2018,77.132,18273.4270684912,4.6865654,9.12720234036469,121.685249328613,18.9233007168875,1.371,Latin America & Caribbean ,High income
AL,2000,74.826,1160.42047054038,5.87429667,7.33069132123503,70.3186492919922,22.2651885663762,2.217,Europe & Central Asia,Upper middle income
AL,2001,75.083,1326.41652388077,5.8561573,7.60579089173614,72.4845733642578,22.3660062096811,2.141,Europe & Central Asia,Upper middle income
